(perchè ieri) tu USCIRE,(tu) eri uscito
(passato) se lui USCIRE,se (lui) sarebbe uscito
(...ndo) ...  USCIRE,(... ) uscendo
(passato ...ndo) USCIRE,(essendo) usciti
(aggetivo) ...  USCIRE,(... ) uscente
(per favore) ...  USCIRE,(... ) esci
(adesso) io PRENDERE,(io) prendo
(adesso) tu PRENDERE,(tu) prendi
(adesso) lui PRENDERE,(lui) prende
(adesso) noi PRENDERE,(noi) prendiamo
(adesso) voi PRENDERE,(voi) prendete
(adesso) loro PRENDERE,(loro) prendono
(ieri) tu PRENDERE,(tu) prendevi
(molto tempo fa) io PRENDERE,(io) presi
(molto tempo fa) loro PRENDERE,(loro) presero
(domani) voi PRENDERE,(voi) prenderete
(finito) lei PRENDERE,(lei) ha preso
(perchè ieri) io PRENDERE,(io) avevo preso
(passato) se lui PRENDERE,se (lui) avrebbe preso
(...ndo) ...  PRENDERE,(... ) prendendo
(passato ...ndo) PRENDERE,(avendo) preso
(aggetivo) ...  PRENDERE,(... ) prendente
(per favore) ...  PRENDERE,(... ) prendi
(adesso) io PIACERE,(io) piaccio
(adesso) tu PIACERE,(tu) piaci
(adesso) lei PIACERE,(lei) piace
(adesso) noi PIACERE,(noi) piacciamo
(adesso) voi PIACERE,(voi) piacete
(adesso) loro PIACERE,(loro) piacciono
(ieri) tu PIACERE,(tu) piacevi
(molto tempo fa) io PIACERE,(io) piacqui
(molto tempo fa) loro PIACERE,(loro) piacquero
(domani) tu PIACERE,(tu) piacerai
(finito) tu PIACERE,(tu) sei piaciuto
(perchè ieri) lei PIACERE,(lei) era piaciuta
(passato) se tu PIACERE,se (tu) saresti piaciuto
(...ndo) ...  PIACERE,(... ) piacendo
(passato ...ndo) PIACERE,(essendo) piaciuto
(aggetivo) ...  PIACERE,(... ) piacente
(per favore) ...  PIACERE,(... ) piaci
(adesso) io LEGGERE,(io) leggo
(adesso) tu LEGGERE,(tu) leggi
(adesso) lui LEGGERE,(lui) legge
(adesso) noi LEGGERE,(noi) leggiamo
(adesso) voi LEGGERE,(voi) leggete
(adesso) loro LEGGERE,(loro) leggono
(ieri) noi LEGGERE,(noi) leggevamo
(molto tempo fa) io LEGGERE,(io) lessi
(molto tempo fa) tu LEGGERE,(tu) leggesti
(domani) loro LEGGERE,(loro) leggeranno
(finito) io LEGGERE,(io) ho letto
(perchè ieri) io LEGGERE,(io) avevo letto
(passato) se io LEGGERE,se (io) avrei letto
(...ndo) ...  LEGGERE,(... ) leggendo
(passato ...ndo) LEGGERE,(avendo) letto
(aggetivo) ...  LEGGERE,(... ) leggente
(per favore) ...  LEGGERE,(... ) leggi
(adesso) io AMARE,(io) amo
(adesso) tu AMARE,(tu) ami
(adesso) lei AMARE,(lei) ama
(adesso) noi AMARE,(noi) amiamo
(adesso) voi AMARE,(voi) amate
(adesso) loro AMARE,(loro) amano
(ieri) io AMARE,(io) amavo
(molto tempo fa) io AMARE,(io) amai
(molto tempo fa) tu AMARE,(tu) amasti
(domani) lui AMARE,(lui) amerà
(finito) voi AMARE,(voi) avete amato
(perchè ieri) loro AMARE,(loro) avevano amato
(passato) se io AMARE,se (io) avrei amato
(...ndo) ...  AMARE,(... ) amando
(passato ...ndo) AMARE,(avendo) amato
(aggetivo) ...  AMARE,(... ) amante
(per favore) ...  AMARE,(... ) ama
(adesso) io BERE,(io) bevo
(adesso) tu BERE,(tu) bevi
(adesso) lei BERE,(lei) beve
(adesso) noi BERE,(noi) beviamo
(adesso) voi BERE,(voi) bevete
(adesso) loro BERE,(loro) bevono
(ieri) lei BERE,(lei) beveva
(molto tempo fa) io BERE,(io) bevvi/vetti
(molto tempo fa) loro BERE,(loro) bevvero/vettero
(domani) loro BERE,(loro) berranno
(finito) loro BERE,(loro) hanno bevuto
(perchè ieri) voi BERE,(voi) avevate bevuto
(passato) se noi BERE,se (noi) avremmo bevuto
(...ndo) ...  BERE,(... ) bevendo
(passato ...ndo) BERE,(avendo) bevuto
(aggetivo) ...  BERE,(... ) bevente
(per favore) ...  BERE,(... ) bevi
(adesso) io FINIRE,(io) finisco
(adesso) tu FINIRE,(tu) finisci
(adesso) lui FINIRE,(lui) finisce
(adesso) noi FINIRE,(noi) finiamo
(adesso) voi FINIRE,(voi) finite
(adesso) loro FINIRE,(loro) finiscono
(ieri) io FINIRE,(io) finivo
(molto tempo fa) io FINIRE,(io) finii
(molto tempo fa) loro FINIRE,(loro) finirono
(domani) voi FINIRE,(voi) finirete
(finito) noi FINIRE,(noi) siamo finiti
(perchè ieri) tu FINIRE,(tu) eri finito
(passato) se voi FINIRE,se (voi) avreste finito
(...ndo) ...  FINIRE,(... ) finendo
(passato ...ndo) FINIRE,(essendo) finito
(aggetivo) ...  FINIRE,(... ) finente
(per favore) ...  FINIRE,(... ) finisci
(adesso) io CAPIRE,(io) capisco
(adesso) tu CAPIRE,(tu) capisci
(adesso) lui CAPIRE,(lui) capisce
(adesso) noi CAPIRE,(noi) capiamo
(adesso) voi CAPIRE,(voi) capite
(adesso) loro CAPIRE,(loro) capiscono
(ieri) loro CAPIRE,(loro) capivano
(molto tempo fa) io CAPIRE,(io) capii
(molto tempo fa) tu CAPIRE,(tu) capisti
(domani) voi CAPIRE,(voi) capirete
(finito) voi CAPIRE,(voi) avete capito
(perchè ieri) tu CAPIRE,(tu) avevi capito
(passato) se voi CAPIRE,se (voi) avreste capito
(...ndo) ...  CAPIRE,(... ) capendo
(passato ...ndo) CAPIRE,(avendo) capito
(aggetivo) ...  CAPIRE,(... ) capente
(per favore) ...  CAPIRE,(... ) capisci
(adesso) io ARRIVARE,(io) arrivo
(adesso) tu ARRIVARE,(tu) arrivi
(adesso) lei ARRIVARE,(lei) arriva
(adesso) noi ARRIVARE,(noi) arriviamo
(adesso) voi ARRIVARE,(voi) arrivate
(adesso) loro ARRIVARE,(loro) arrivano
(ieri) loro ARRIVARE,(loro) arrivavano
(molto tempo fa) io ARRIVARE,(io) arrivai
(molto tempo fa) voi ARRIVARE,(voi) arrivaste
(domani) lei ARRIVARE,(lei) arriverà
(finito) loro ARRIVARE,(loro) sono arrivati
(perchè ieri) loro ARRIVARE,(loro) erano arrivate
(passato) se voi ARRIVARE,se (voi) sareste arrivati
(...ndo) ...  ARRIVARE,(... ) arrivando
(passato ...ndo) ARRIVARE,(essendo) arrivata
(aggetivo) ...  ARRIVARE,(... ) arrivante
(per favore) ...  ARRIVARE,(... ) arriva
(adesso) io SCRIVERE,(io) scrivo
(adesso) tu SCRIVERE,(tu) scrivi
(adesso) lui SCRIVERE,(lui) scrive
(adesso) noi SCRIVERE,(noi) scriviamo
(adesso) voi SCRIVERE,(voi) scrivete
(adesso) loro SCRIVERE,(loro) scrivono
(ieri) tu SCRIVERE,(tu) scrivevi
(molto tempo fa) io SCRIVERE,(io) scrissi
(molto tempo fa) tu SCRIVERE,(tu) scrivesti
(domani) loro SCRIVERE,(loro) scriveranno
(finito) tu SCRIVERE,(tu) hai scritto
(perchè ieri) lei SCRIVERE,(lei) aveva scritto
(passato) se voi SCRIVERE,se (voi) avreste scritto
(...ndo) ...  SCRIVERE,(... ) scrivendo
(passato ...ndo) SCRIVERE,(avendo) scritto
(aggetivo) ...  SCRIVERE,(... ) scrivente
(per favore) ...  SCRIVERE,(... ) scrivi
(adesso) io PARTIRE,(io) parto
(adesso) tu PARTIRE,(tu) parti
(adesso) lei PARTIRE,(lei) parte
(adesso) noi PARTIRE,(noi) partiamo
(adesso) voi PARTIRE,(voi) partite
(adesso) loro PARTIRE,(loro) partono
(ieri) loro PARTIRE,(loro) partivano
(molto tempo fa) io PARTIRE,(io) partii
(molto tempo fa) tu PARTIRE,(tu) partisti
(domani) io PARTIRE,(io) partirò
(finito) io PARTIRE,(io) sono partito
(perchè ieri) lui PARTIRE,(lui) era partito
(passato) se tu PARTIRE,se (tu) saresti partito
(...ndo) ...  PARTIRE,(... ) partendo
(passato ...ndo) PARTIRE,(essendo) partito
(aggetivo) ...  PARTIRE,(... ) partente
(per favore) ...  PARTIRE,(... ) parti
(adesso) io METTERE,(io) metto
(adesso) tu METTERE,(tu) metti
(adesso) lui METTERE,(lui) mette
(adesso) noi METTERE,(noi) mettiamo
(adesso) voi METTERE,(voi) mettete
(adesso) loro METTERE,(loro) mettono
(ieri) voi METTERE,(voi) mettevate
(molto tempo fa) io METTERE,(io) misi
(molto tempo fa) voi METTERE,(voi) metteste
(domani) io METTERE,(io) metterò
(finito) noi METTERE,(noi) abbiamo messo
(perchè ieri) io METTERE,(io) avevo messo
(passato) se loro METTERE,se (loro) avrebbero messo
(...ndo) ...  METTERE,(... ) mettendo
(passato ...ndo) METTERE,(avendo) messo
(aggetivo) ...  METTERE,(... ) mettente
(per favore) ...  METTERE,(... ) metti
(adesso) io RIMANERE,(io) rimango
(adesso) tu RIMANERE,(tu) rimani
(adesso) lui RIMANERE,(lui) rimane
(adesso) noi RIMANERE,(noi) rimaniamo
(adesso) voi RIMANERE,(voi) rimanete
(adesso) loro RIMANERE,(loro) rimangono
(ieri) tu RIMANERE,(tu) rimanevi
(molto tempo fa) io RIMANERE,(io) rimasi
(molto tempo fa) loro RIMANERE,(loro) rimasero
(domani) noi RIMANERE,(noi) rimarremo
(finito) voi RIMANERE,(voi) siete rimasti
(perchè ieri) noi RIMANERE,(noi) eravamo rimasti
(passato) se loro RIMANERE,se (loro) sarebbero rimasti
(...ndo) ...  RIMANERE,(... ) rimanendo
(passato ...ndo) RIMANERE,(essendo) rimasta
(aggetivo) ...  RIMANERE,(... ) rimanente
(per favore) ...  RIMANERE,(... ) rimani
(adesso) io DORMIRE,(io) dormo
(adesso) tu DORMIRE,(tu) dormi
(adesso) lei DORMIRE,(lei) dorme
(adesso) noi DORMIRE,(noi) dormiamo
(adesso) voi DORMIRE,(voi) dormite
(adesso) loro DORMIRE,(loro) dormono
(ieri) noi DORMIRE,(noi) dormivamo
(molto tempo fa) io DORMIRE,(io) dormii
(molto tempo fa) lei DORMIRE,(lei) dormì
(domani) tu DORMIRE,(tu) dormirai
(finito) tu DORMIRE,(tu) hai dormito
(perchè ieri) voi DORMIRE,(voi) avevate dormito
(passato) se loro DORMIRE,se (loro) avrebbero dormito
(...ndo) ...  DORMIRE,(... ) dormendo
(passato ...ndo) DORMIRE,(avendo) dormito
(aggetivo) ...  DORMIRE,(... ) dormente
(per favore) ...  DORMIRE,(... ) dormi
(adesso) io VIVERE,(io) vivo
(adesso) tu VIVERE,(tu) vivi
(adesso) lei VIVERE,(lei) vive
(adesso) noi VIVERE,(noi) viviamo
(adesso) voi VIVERE,(voi) vivete
(adesso) loro VIVERE,(loro) vivono
(ieri) tu VIVERE,(tu) vivevi
(molto tempo fa) io VIVERE,(io) vissi
(molto tempo fa) noi VIVERE,(noi) vivemmo
(domani) loro VIVERE,(loro) vivranno
(finito) io VIVERE,(io) sono vissuto
(perchè ieri) loro VIVERE,(loro) erano vissute
(passato) se loro VIVERE,se (loro) avrebbero vissuto
(...ndo) ...  VIVERE,(... ) vivendo
(passato ...ndo) VIVERE,(essendo) vissute
(aggetivo) ...  VIVERE,(... ) vivente
(per favore) ...  VIVERE,(... ) vivi
(adesso) io CONOSCERE,(io) conosco
(adesso) tu CONOSCERE,(tu) conosci
(adesso) lui CONOSCERE,(lui) conosce
(adesso) noi CONOSCERE,(noi) conosciamo
(adesso) voi CONOSCERE,(voi) conoscete
(adesso) loro CONOSCERE,(loro) conoscono
(ieri) noi CONOSCERE,(noi) conoscevamo
(molto tempo fa) io CONOSCERE,(io) conobbi
(molto tempo fa) voi CONOSCERE,(voi) conosceste
(domani) lui CONOSCERE,(lui) conoscerà
(finito) loro CONOSCERE,(loro) hanno conosciuto
(perchè ieri) io CONOSCERE,(io) avevo conosciuto
(passato) se noi CONOSCERE,se (noi) avremmo conosciuto
(...ndo) ...  CONOSCERE,(... ) conoscendo
(passato ...ndo) CONOSCERE,(avendo) conosciuto
(aggetivo) ...  CONOSCERE,(... ) conoscente
(per favore) ...  CONOSCERE,(... ) conosci
(adesso) io SENTIRSI,(io) mi sento
(adesso) tu SENTIRSI,(tu) ti senti
(adesso) lei SENTIRSI,(lei) si sente
(adesso) noi SENTIRSI,(noi) ci sentiamo
(adesso) voi SENTIRSI,(voi) vi sentite
(adesso) loro SENTIRSI,(loro) si sentono
(ieri) voi SENTIRSI,(voi) vi sentivate
(molto tempo fa) io SENTIRSI,(io) mi sentii
(molto tempo fa) loro SENTIRSI,(loro) si sentirono
(domani) loro SENTIRSI,(loro) si sentiranno
(finito) lui SENTIRSI,(lui) si è sentito
(perchè ieri) io SENTIRSI,(io) mi ero sentito
(passato) se loro SENTIRSI,se (loro) si sarebbero sentite
(...ndo) ...  SENTIRSI,(... ) sentendosi
(passato ...ndo) SENTIRSI,(essendosi) sentito
(aggetivo) ...  SENTIRSI,(... ) senzientesi
(per favore) ...  SENTIRSI,(... ) sentiti
(adesso) io CUCINARE,(io) cucino
(adesso) tu CUCINARE,(tu) cucini
(adesso) lui CUCINARE,(lui) cucina
(adesso) noi CUCINARE,(noi) cuciniamo
(adesso) voi CUCINARE,(voi) cucinate
(adesso) loro CUCINARE,(loro) cucinano
(ieri) tu CUCINARE,(tu) cucinavi
(molto tempo fa) io CUCINARE,(io) cucinai
(molto tempo fa) noi CUCINARE,(noi) cucinammo
(domani) loro CUCINARE,(loro) cucineranno
(finito) noi CUCINARE,(noi) abbiamo cucinato
(perchè ieri) noi CUCINARE,(noi) avevamo cucinato
(passato) se tu CUCINARE,se (tu) avresti cucinato
(...ndo) ...  CUCINARE,(... ) cucinando
(passato ...ndo) CUCINARE,(avendo) cucinato
(aggetivo) ...  CUCINARE,(... ) cucinante
(per favore) ...  CUCINARE,(... ) cucina
(adesso) io STUDIARE,(io) studio
(adesso) tu STUDIARE,(tu) studi
(adesso) lui STUDIARE,(lui) studia
(adesso) noi STUDIARE,(noi) studiamo
