"Position","Mood:Tense","Subject","Infinitive","Front","Back"
"4","Congiuntivo:Passato","che io","ALZARSI","(perfetto) che io ALZARSI","(che io) mi sia alzato"
"4","Congiuntivo:Passato","che lui","ALZARSI","(perfetto) che lui ALZARSI","(che lui) si sia alzato"
"4","Condizionale:Presente","io","ALZARSI","se (presente) io ALZARSI","se (io) mi alzerei"
"4","Condizionale:Presente","loro","ALZARSI","se (presente) loro ALZARSI","se (loro) si alzerebbero"
"4","Condizionale:Passato","noi","ALZARSI","se (passato) noi ALZARSI","se (noi) ci saremmo alzati"
"4","Gerundio:Presente","... ","ALZARSI","(...ndo) ...  ALZARSI","(... ) alzandosi"
"4","Gerundio:Passato","essendosi","ALZARSI","(passato ...ndo) ALZARSI","(essendosi) alzato"
"4","Participio:Presente","... ","ALZARSI","(aggetivo) ...  ALZARSI","(... ) alzantesi"
"4","Imperativo:Presente","... ","ALZARSI","(per favore) ...  ALZARSI","(... ) alzati"
"5","Indicativo:Presente","io","AMARE","(adesso) io AMARE","(io) amo"
"5","Indicativo:Presente","tu","AMARE","(adesso) tu AMARE","(tu) ami"
"5","Indicativo:Presente","lei","AMARE","(adesso) lei AMARE","(lei) ama"
"5","Indicativo:Presente","noi","AMARE","(adesso) noi AMARE","(noi) amiamo"
"5","Indicativo:Presente","voi","AMARE","(adesso) voi AMARE","(voi) amate"
"5","Indicativo:Presente","loro","AMARE","(adesso) loro AMARE","(loro) amano"
"5","Indicativo:Imperfetto","voi","AMARE","(ieri) voi AMARE","(voi) amavate"
"5","Indicativo:Passato:remoto","io","AMARE","(molto tempo fa) io AMARE","(io) amai"
"5","Indicativo:Passato:remoto","tu","AMARE","(molto tempo fa) tu AMARE","(tu) amasti"
"5","Indicativo:Futuro:semplice","lui","AMARE","(domani) lui AMARE","(lui) amerà"
"5","Indicativo:Passato:prossimo","noi","AMARE","(perfetto) noi AMARE","(noi) abbiamo amato"
"5","Indicativo:Trapassato:prossimo","io","AMARE","(perchè ieri) io AMARE","(io) avevo amato"
"5","Congiuntivo:Presente","che io","AMARE","che io AMARE","(che io) ami"
"5","Congiuntivo:Presente","che tu","AMARE","che tu AMARE","(che tu) ami"
"5","Congiuntivo:Passato","che io","AMARE","(perfetto) che io AMARE","(che io) abbia amato"
"5","Congiuntivo:Passato","che tu","AMARE","(perfetto) che tu AMARE","(che tu) abbia amato"
"5","Condizionale:Presente","io","AMARE","se (presente) io AMARE","se (io) amerei"
"5","Condizionale:Presente","lei","AMARE","se (presente) lei AMARE","se (lei) amerebbe"
"5","Condizionale:Passato","tu","AMARE","se (passato) tu AMARE","se (tu) avresti amato"
"5","Gerundio:Presente","... ","AMARE","(...ndo) ...  AMARE","(... ) amando"
"5","Gerundio:Passato","avendo","AMARE","(passato ...ndo) AMARE","(avendo) amato"
"5","Participio:Presente","... ","AMARE","(aggetivo) ...  AMARE","(... ) amante"
"5","Imperativo:Presente","... ","AMARE","(per favore) ...  AMARE","(... ) ama"
"6","Indicativo:Presente","io","ANDARE","(adesso) io ANDARE","(io) vado"
"6","Indicativo:Presente","tu","ANDARE","(adesso) tu ANDARE","(tu) vai"
"6","Indicativo:Presente","lei","ANDARE","(adesso) lei ANDARE","(lei) va"
"6","Indicativo:Presente","noi","ANDARE","(adesso) noi ANDARE","(noi) andiamo"
"6","Indicativo:Presente","voi","ANDARE","(adesso) voi ANDARE","(voi) andate"
"6","Indicativo:Presente","loro","ANDARE","(adesso) loro ANDARE","(loro) vanno"
"6","Indicativo:Imperfetto","lui","ANDARE","(ieri) lui ANDARE","(lui) andava"
"6","Indicativo:Passato:remoto","io","ANDARE","(molto tempo fa) io ANDARE","(io) andai"
"6","Indicativo:Passato:remoto","tu","ANDARE","(molto tempo fa) tu ANDARE","(tu) andasti"
"6","Indicativo:Futuro:semplice","loro","ANDARE","(domani) loro ANDARE","(loro) andranno"
"6","Indicativo:Passato:prossimo","lui","ANDARE","(perfetto) lui ANDARE","(lui) è andato"
"6","Indicativo:Trapassato:prossimo","loro","ANDARE","(perchè ieri) loro ANDARE","(loro) erano andate"
"6","Congiuntivo:Presente","che io","ANDARE","che io ANDARE","(che io) vada"
"6","Congiuntivo:Presente","che loro","ANDARE","che loro ANDARE","(che loro) vadano"
"6","Congiuntivo:Passato","che io","ANDARE","(perfetto) che io ANDARE","(che io) sia andato"
"6","Congiuntivo:Passato","che noi","ANDARE","(perfetto) che noi ANDARE","(che noi) siamo andati"
"6","Condizionale:Presente","io","ANDARE","se (presente) io ANDARE","se (io) andrei"
"6","Condizionale:Presente","voi","ANDARE","se (presente) voi ANDARE","se (voi) andreste"
"6","Condizionale:Passato","lei","ANDARE","se (passato) lei ANDARE","se (lei) sarebbe andata"
"6","Gerundio:Presente","... ","ANDARE","(...ndo) ...  ANDARE","(... ) andando"
"6","Gerundio:Passato","essendo","ANDARE","(passato ...ndo) ANDARE","(essendo) andato"
"6","Participio:Presente","... ","ANDARE","(aggetivo) ...  ANDARE","(... ) andante"
"6","Imperativo:Presente","... ","ANDARE","(per favore) ...  ANDARE","(... ) va'/vai"
"7","Indicativo:Presente","io","ANNOIARSI","(adesso) io ANNOIARSI","(io) mi annoio"
"7","Indicativo:Presente","tu","ANNOIARSI","(adesso) tu ANNOIARSI","(tu) ti annoi"
"7","Indicativo:Presente","lei","ANNOIARSI","(adesso) lei ANNOIARSI","(lei) si annoia"
"7","Indicativo:Presente","noi","ANNOIARSI","(adesso) noi ANNOIARSI","(noi) ci annoiamo"
"7","Indicativo:Presente","voi","ANNOIARSI","(adesso) voi ANNOIARSI","(voi) vi annoiate"
"7","Indicativo:Presente","loro","ANNOIARSI","(adesso) loro ANNOIARSI","(loro) si annoiano"
"7","Indicativo:Imperfetto","loro","ANNOIARSI","(ieri) loro ANNOIARSI","(loro) si annoiavano"
"7","Indicativo:Passato:remoto","io","ANNOIARSI","(molto tempo fa) io ANNOIARSI","(io) mi annoiai"
"7","Indicativo:Passato:remoto","lui","ANNOIARSI","(molto tempo fa) lui ANNOIARSI","(lui) si annoiò"
"7","Indicativo:Futuro:semplice","loro","ANNOIARSI","(domani) loro ANNOIARSI","(loro) si annoieranno"
