"Position","POS","Verb","Form","Front","Back"
"123","0","mettere","Presente","io metto -> Presente","io metto"
"123","1","mettere","Presente","tu metti -> Presente","tu metti"
"123","2","mettere","Presente","lui mette -> Presente","lui mette"
"123","3","mettere","Presente","lei mette -> Presente","lei mette"
"123","4","mettere","Presente","noi mettiamo -> Presente","noi mettiamo"
"123","5","mettere","Presente","voi mettete -> Presente","voi mettete"
"123","6","mettere","Presente","loro(m) mettono -> Presente","loro(m) mettono"
"123","7","mettere","Presente","loro(f) mettono -> Presente","loro(f) mettono"
"123","0","mettere","Imperfetto","io metto -> Imperfetto","io mettevo"
"123","1","mettere","Imperfetto","tu metti -> Imperfetto","tu mettevi"
"123","2","mettere","Imperfetto","lui mette -> Imperfetto","lui metteva"
"123","3","mettere","Imperfetto","lei mette -> Imperfetto","lei metteva"
"123","4","mettere","Imperfetto","noi mettiamo -> Imperfetto","noi mettevamo"
"123","5","mettere","Imperfetto","voi mettete -> Imperfetto","voi mettevate"
"123","6","mettere","Imperfetto","loro(m) mettono -> Imperfetto","loro(m) mettevano"
"123","7","mettere","Imperfetto","loro(f) mettono -> Imperfetto","loro(f) mettevano"
"123","0","mettere","Passato Remoto","io metto -> Passato Remoto","io misi"
"123","1","mettere","Passato Remoto","tu metti -> Passato Remoto","tu mettesti"
"123","2","mettere","Passato Remoto","lui mette -> Passato Remoto","lui mise"
"123","3","mettere","Passato Remoto","lei mette -> Passato Remoto","lei mise"
"123","4","mettere","Passato Remoto","noi mettiamo -> Passato Remoto","noi mettemmo"
"123","5","mettere","Passato Remoto","voi mettete -> Passato Remoto","voi metteste"
"123","6","mettere","Passato Remoto","loro(m) mettono -> Passato Remoto","loro(m) misero"
"123","7","mettere","Passato Remoto","loro(f) mettono -> Passato Remoto","loro(f) misero"
"123","0","mettere","Futuro","io metto -> Futuro","io metterò"
"123","1","mettere","Futuro","tu metti -> Futuro","tu metterai"
"123","2","mettere","Futuro","lui mette -> Futuro","lui metterà"
"123","3","mettere","Futuro","lei mette -> Futuro","lei metterà"
"123","4","mettere","Futuro","noi mettiamo -> Futuro","noi metteremo"
"123","5","mettere","Futuro","voi mettete -> Futuro","voi metterete"
"123","6","mettere","Futuro","loro(m) mettono -> Futuro","loro(m) metteranno"
"123","7","mettere","Futuro","loro(f) mettono -> Futuro","loro(f) metteranno"
"123","0","mettere","Perfetto","io metto -> Perfetto","io ho messo"
"123","1","mettere","Perfetto","tu metti -> Perfetto","tu hai messo"
"123","2","mettere","Perfetto","lui mette -> Perfetto","lui ha messo"
"123","3","mettere","Perfetto","lei mette -> Perfetto","lei ha messo"
"123","4","mettere","Perfetto","noi mettiamo -> Perfetto","noi abbiamo messo"
"123","5","mettere","Perfetto","voi mettete -> Perfetto","voi avete messo"
"123","6","mettere","Perfetto","loro(m) mettono -> Perfetto","loro(m) hanno messo"
"123","7","mettere","Perfetto","loro(f) mettono -> Perfetto","loro(f) hanno messo"
"123","0","mettere","Trapassato Prossimo","io metto -> Trapassato Prossimo","io avevo messo"
"123","1","mettere","Trapassato Prossimo","tu metti -> Trapassato Prossimo","tu avevi messo"
"123","2","mettere","Trapassato Prossimo","lui mette -> Trapassato Prossimo","lui aveva messo"
"123","3","mettere","Trapassato Prossimo","lei mette -> Trapassato Prossimo","lei aveva messo"
"123","4","mettere","Trapassato Prossimo","noi mettiamo -> Trapassato Prossimo","noi avevamo messo"
"123","5","mettere","Trapassato Prossimo","voi mettete -> Trapassato Prossimo","voi avevate messo"
"123","6","mettere","Trapassato Prossimo","loro(m) mettono -> Trapassato Prossimo","loro(m) avevano messo"
"123","7","mettere","Trapassato Prossimo","loro(f) mettono -> Trapassato Prossimo","loro(f) avevano messo"
"123","0","mettere","Futuro Anteriore","io metto -> Futuro Anteriore","io avrò messo"
"123","1","mettere","Futuro Anteriore","tu metti -> Futuro Anteriore","tu avrai messo"
"123","2","mettere","Futuro Anteriore","lui mette -> Futuro Anteriore","lui avrà messo"
"123","3","mettere","Futuro Anteriore","lei mette -> Futuro Anteriore","lei avrà messo"
"123","4","mettere","Futuro Anteriore","noi mettiamo -> Futuro Anteriore","noi avremo messo"
"123","5","mettere","Futuro Anteriore","voi mettete -> Futuro Anteriore","voi avrete messo"
"123","6","mettere","Futuro Anteriore","loro(m) mettono -> Futuro Anteriore","loro(m) avranno messo"
"123","7","mettere","Futuro Anteriore","loro(f) mettono -> Futuro Anteriore","loro(f) avranno messo"
"123","0","mettere","Congiuntivo Presente","io metto -> Congiuntivo Presente","che io metta"
"123","1","mettere","Congiuntivo Presente","tu metti -> Congiuntivo Presente","che tu metta"
"123","2","mettere","Congiuntivo Presente","lui mette -> Congiuntivo Presente","che lui metta"
"123","3","mettere","Congiuntivo Presente","lei mette -> Congiuntivo Presente","che lei metta"
"123","4","mettere","Congiuntivo Presente","noi mettiamo -> Congiuntivo Presente","che noi mettiamo"
"123","5","mettere","Congiuntivo Presente","voi mettete -> Congiuntivo Presente","che voi mettiate"
"123","6","mettere","Congiuntivo Presente","loro(m) mettono -> Congiuntivo Presente","che loro(m) mettano"
"123","7","mettere","Congiuntivo Presente","loro(f) mettono -> Congiuntivo Presente","che loro(f) mettano"
"123","0","mettere","Congiuntivo Perfetto","io metto -> Congiuntivo Perfetto","che io abbia messo"
"123","1","mettere","Congiuntivo Perfetto","tu metti -> Congiuntivo Perfetto","che tu abbia messo"
"123","2","mettere","Congiuntivo Perfetto","lui mette -> Congiuntivo Perfetto","che lui abbia messo"
"123","3","mettere","Congiuntivo Perfetto","lei mette -> Congiuntivo Perfetto","che lei abbia messo"
